Nombre,Tipo de Dato,Descripción
ID_BIEN_LOG,Integer,Identificador único del elemento.
FECHA_CAMBIO,Date Time,Fecha en la que se realizo el cambio
CAMBIOS,Text,Descripción del cambio realizado
ACCION,Varchar,Tipo de acción realizada
AREA_ULTIMA_MODIFICACION,Varchar,Lugar del sistema donde se realizo el cambio
ID_BIEN,Integer,Identificador único del elemento bien
NUM_BIEN,Varchar,Número correspondiente del bien en el proyecto.
TIPO_BIEN,Varchar,"Tipo del bien (Ejemplos: casa, departamento, etc)"
ORIENTACION,Varchar,"Posición de la vivienda respecto del sol (Sur, Oriente, Poniente, Empty,
  etc.)"
ESTADO_BIEN,Varchar,"Estado actual en que se encuentra ese bien en el proyecto (Disponible,
  Reservado, Promesado, etc.)"
ROL_BIEN,Varchar,Número de rol de la propiedad otorgado por CBRS.
ETAPA,Varchar,"Para proyectos en etapas, indica a qué etapa del proyecto corresponde
  dicho bien."
ITEM,TinyInt,"Indica que el bien no se comporta como bien, sino que es un bien Adicional."
ITEM_IVA,TinyInt,"Indica que el bien no se comporta como bien, sino que es un bien
  Adicional, en este caso un adicional de IVA."
DISPONIBLE,TinyInt,Indica si el bien se encuentra Activo o Bloqueado.
ELIMINADO,TinyInt,Indica si el bien se eliminó del proyecto en el Gestión Comercial.
USO_GOCE,TinyInt,"Indica si es o no un bien de uso y goce, es decir si se arrienda o no."
PAGO_DPU,TinyInt,Indica si se acepta pago con un Departamento Usado.
COMPARTIDO_GRUPO,TinyInt,"Indica si el bien se encuentra dentro de un grupo de proyectos que
comparten bienes (ej: estacionamientos entre 2 torres)"
FECHA_CONTRATO,Date Time,"Fecha en que se produce la Reserva del bien, y se le asigna un número de contrato."
FECHA_FIRMA_ESCRITURA_CLIENTE,Date Time,Indica fecha en la que el cliente firma la escritura del bien.
FECHA_INICIO_ITEM,Date Time,"En caso que el bien sea ítem, indica fecha inicial del mismo."
FECHA_FIN_ITEM,Date Time,"En caso que el bien sea ítem, indica fecha final de vigencia del mismo."
FECHA_ACTIVO,Date Time,Indica fecha en que el bien pasó a estar en estado Activo.
FECHA_INACTIVO,Date Time,Indica fecha en que el bien pasó a estar en estado Bloqueado.
FECHA_IMAGEN,Date Time,Indica cuando se actualizó por última vez la imagen de planta del bien.
PISO,Integer,N° de piso en el que se ubica el bien en el proyecto.
NUM_BANOS,Integer,Cantidad de baños que posee el bien.
NUM_CAMAS,Integer,Cantidad de camas que posee el bien.
NUM_DORM,Integer,Cantidad de dormitorios que posee el bien.
TOTAL_REVERSAS,Integer,"Cantidad de veces que el bien ha estado en un contrato que luego se
reversó."
SUP_DESPENSA,Double,Superficie de Despensa.
SUP_INTERIOR,Double,Superficie interior del bien.
SUP_INTERIOR_MUNICIPAL,Double,Superficie interior del bien declarada en Municipalidad.
SUP_LOGIA,Double,Superficie de lavandería o logia.
SUP_LOGIA_MUNICIPAL,Double,Superficie de lavandería o logia declarada en Municipalidad.
SUP_PONDERADA,Double,Superficie útil + (Superficie Terraza/2)
SUP_TERRAZA,Double,Superficie terraza del bien.
SUP_TERRAZA_MUNICIPAL,Double,Superficie terraza del bien declarada en Municipalidad.
SUP_UTIL,Double,Superficie cubierta del bien.
SUP_MIRADOR_TERRAZA,Double,Superficie de terraza mirador del bien o edificio.
SUP_TERRENO,Double,Superficie del terreno.
SUP_JARDIN,Double,Superficie jardín.
SUP_OTRAS,Double,"Indica aquella superficie que posea el bien y que no esté detallada en
las anteriores."
SUP_TOTAL,Double,Suma de superficies que hacen al total de la propiedad.
