Nombre,Descripción,Tipo de Dato
FECHA_REGISTRO_BIEN,"Indica fecha en la que el bien se registró/cargó por primera vez en el
sistema.",Date Time
NUM_DORM,Cantidad de dormitorios que posee el bien.,Integer
SUP_TOTAL,Suma de superficies que hacen al total de la propiedad.,Double
PAGO_DPU,Indica si se acepta pago con un Departamento Usado.,TinyInt
SUP_UTIL,Superficie cubierta del bien.,Double
FECHA_INACTIVO,Indica fecha en que el bien pasó a estar en estado Bloqueado.,Date Time
VALOR_IVA,Valor IVA del bien.,Decimal
VALOR_BONO_2,Valor bono 2.,Decimal
ROL_BIEN,Número de rol de la propiedad otorgado por CBRS.,Varchar
SUP_TOTAL_MUNICIPAL,Superficie total  municipal.,Double
NUM_BIEN,Número correspondiente del bien en el proyecto.,Varchar
SUP_PONDERADA,Superficie útil + (Superficie Terraza/2),Double
CAMBIOS,Descripción del cambio realizado,Text
SUP_TERRAZA_MUNICIPAL,Superficie terraza del bien declarada en Municipalidad.,Double
FECHA_MODIFICACION_DESCUENTO_NO_AUTORIZADO,Fecha en que se modificó el Descuento No Autorizado del bien.,Date Time
SUP_DESPENSA,Superficie de Despensa.,Double
FECHA_IMAGEN,Indica cuando se actualizó por última vez la imagen de planta del bien.,Date Time
SUP_OTRAS,"Indica aquella superficie que posea el bien y que no esté detallada en
las anteriores.",Double
URL_IMAGEN_2,URL a la segunda imagen cargada del bien.,Text
ID_USUARIO_MODIFICA_DESCUENTO_NO_AUTORIZADO,"Identificador único del usuario MobySuite que modificó el Descuento No
Autorizado del bien.",Integer
VALOR_VENTA,"Valor al que efectivamente se vende el bien. (Vlista - Descuentos +-
Adicionales + Valor Habilitacional)",Decimal
NUM_CAMAS,Cantidad de camas que posee el bien.,Integer
PISO,N° de piso en el que se ubica el bien en el proyecto.,Integer
SUP_MIRADOR_TERRAZA,Superficie de terraza mirador del bien o edificio.,Double
ARRIENDO_PROMEDIO,"Indica el valor promedio al que se arrienda si es de uso y goce, o que
podría arrendarse.",Decimal
ACCION,Tipo de acción realizada,Varchar
SUP_TERRAZA,Superficie terraza del bien.,Double
VALOR_LISTA,Valor al que se pone en venta el bien.,Decimal
SUP_INTERIOR,Superficie interior del bien.,Double
FECHA_ACTIVO,Indica fecha en que el bien pasó a estar en estado Activo.,Date Time
FECHA_CAMBIO,Fecha en la que se realizo el cambio,Date Time
FECHA_CONTRATO,"Fecha en que se produce la Reserva del bien, y se le asigna un número de contrato.",Date Time
ITEM_IVA,"Indica que el bien no se comporta como bien, sino que es un bien
  Adicional, en este caso un adicional de IVA.",TinyInt
VALOR_BONO_1,Valor bono 1.,Decimal
VALOR_BONO_3,Valor bono 3.,Decimal
