Nombre,Descripción,Tipo de Dato
FECHA_REGISTRO_BIEN,"Indica fecha en la que el bien se registró/cargó por primera vez en el
  sistema.",Date Time
VALOR_BASE,Mínimo valor al que puede venderse el bien.,Decimal
TIP_COCINA,"Detalla el tipo de cocina que posee el bien (Integrada, cerrada, etc.)",Varchar
SUP_UTIL,Superficie cubierta del bien.,Double
USO_GOCE,"Indica si es o no un bien de uso y goce, es decir si se arrienda o no.",Boolean
ITEM_IVA,"Indica que el bien no se comporta como bien, sino que es un bien
  Adicional, en este caso un adicional de IVA.",Boolean
VERSION,Indicador para desarrolladores a la hora de realizar alguna modificación.,Integer
ARRIENDO_PROMEDIO,"Indica el valor promedio al que se arrienda si es de uso y goce, o que
  podría arrendarse.",Decimal
FECHA_MODIFICACION_DESCUENTO_AUTORIZADO,Fecha en que se modificó el Descuento Autorizado del bien.,Date Time
NUM_BANOS,Cantidad de baños que posee el bien.,Integer
ID_CONTRATO,Indica el contrato en el que se encuentra el bien,BigInt
DIVIDENDO,"Detalla campo
  utilizado para estimar dividendos del bien.",Decimal
TIPO_BIEN,Nombre del tipo de bien,Varchar
DESCUENTO_AUTORIZADO,"Descuento que se permite aplicar al Ejecutivo sobre dicho bien al
  cotizar.",Decimal
FECHA_ACTIVO,Indica fecha en que el bien pasó a estar en estado Activo.,Date Time
ID_USUARIO_MODIFICA_DISPONIBLE,"Identificador único del usuario MobySuite que Disponibilizó o Bloqueó el
  bien.",Integer
SUP_LOGIA,Superficie de lavandería o logia.,Double
URL_IMAGEN_1,"URL a la primer imagen cargada del bien, normalmente es la imagen de
  planta que aparece en cotización.",Text
NUM_DORM,Cantidad de dormitorios que posee el bien.,Integer
URL_IMAGEN_3,URL a la tercer imagen cargada del bien.,Text
SUP_MIRADOR_TERRAZA,Superficie de terraza mirador del bien o edificio.,Double
ID_BIEN,Identificador único del elemento bien.,Integer
NUM_BIEN,Número correspondiente del bien en el proyecto.,Varchar
ESTADO_BIEN,"Estado actual en que se encuentra ese bien en el proyecto (Disponible,
  Reservado, Promesado, etc.)",Varchar
VALOR_IVA,Valor IVA del bien.,Decimal
DESCUENTO_SALA,"Detalla el descuento cargado en el bien, permitido para hacer en sala de
  ventas.",Decimal
SUP_TOTAL,Suma de superficies que hacen al total de la propiedad.,Double
FECHA_MODIFICACION_DESCUENTO_NO_AUTORIZADO,Fecha en que se modificó el Descuento No Autorizado del bien.,Date Time
ESTRATEGIA_COMERCIAL,"Detalla campos con
  valores estratégicos, utilizados por algunos clientes. Se carga desde bienes.",Decimal
DISPONIBLE,Indica si el bien se encuentra Activo o Bloqueado.,Boolean
ID_PROYECTO,Identificador único del proyecto al que pertenece dicho bien.,Integer
ELIMINADO,Indica si el bien se eliminó del proyecto en el Gestión Comercial.,Boolean
VALOR_BONO_1,Valor bono 1.,Decimal
VALOR_LISTA,Valor al que se pone en venta el bien.,Decimal
FECHA_FIN_ITEM,"En caso que el bien sea ítem, indica fecha final de vigencia del mismo.",Date Time
ID_USUARIO_MODIFICA_DESCUENTO_AUTORIZADO,"Identificador único del usuario MobySuite que modificó el Descuento
  Autorizado del bien.",Integer
URL_IMAGEN_2,URL a la segunda imagen cargada del bien.,Text
FECHA_FIRMA_ESCRITURA_CLIENTE,Indica fecha en la que el cliente firma la escritura del bien.,Date Time
SUP_PONDERADA,Superficie útil + (Superficie Terraza/2),Double
ID_USUARIO_ALTA,"Identificador único del usuario MobySuite que creó o importó dicho bien
  al sistema por primera vez.",Integer
VALOR_BONO_3,Valor bono 3.,Decimal
ETAPA,"Para proyectos en etapas, indica a qué etapa del proyecto corresponde
  dicho bien.",Varchar
PISO,N° de piso en el que se ubica el bien en el proyecto.,Integer
VALOR_BONO_2,Valor bono 2.,Decimal
SUP_TOTAL_MUNICIPAL,Superficie total  municipal.,Double
OBSERVACIONES,Observaciones o detalle que se ha agregado a la descripción del bien.,Text
ID_USUARIO_MODIFICACION,"Identificador único del usuario MobySuite que modificó alguna propiedad
  del bien.",Integer
FECHA_CONTRATO,"Fecha en que se produce la Reserva del
  bien, y se le asigna un número de contrato.",Date Time
TOTAL_REVERSAS,"Cantidad de veces que el bien ha estado en un contrato que luego se
  reversó.",Integer
FECHA_IMAGEN,Indica cuando se actualizó por última vez la imagen de planta del bien.,Date Time
VALOR_VENTA,"Valor al que efectivamente se vende el bien. (Vlista - Descuentos +-
  Adicionales + Valor Habilitacional)",Decimal
ITEM,"Indica que el bien no se comporta como bien, sino que es un bien
  Adicional.",Boolean
ORIENTACION,"Posición de la vivienda respecto del sol (Sur, Oriente, Poniente, Empty,
  etc.)",Varchar
SUP_DESPENSA,Superficie de Despensa.,Double
PRECIO_INMOBILIARIO,"Detalla valor inmobiliario, utilizados
  por algunos clientes. Se carga desde bienes.",Decimal
VALOR_ADICIONAL,Valor de algún adicional que posea el bien.,Decimal
SUP_TERRAZA,Superficie terraza del bien.,Double
SUP_INTERIOR,Superficie interior del bien.,Double
MOSTRAR_EN_COTIZADOR_WEB,Indica si el bien se muestra o no en el cotizador web.,Boolean
TIPO,"Indica la tipología del bien Ej: A, B, C, D.",Varchar
ROL_BIEN,Número de rol de la propiedad otorgado por CBRS.,Varchar
SUP_INTERIOR_MUNICIPAL,Superficie interior del bien declarada en Municipalidad.,Double
COMPARTIDO_GRUPO,"Indica si el bien se encuentra dentro de un grupo de proyectos que
  comparten bienes (ej: estacionamientos entre 2 torres)",Boolean
SUP_TERRENO,Superficie del terreno.,Double
NUM_CAMAS,Cantidad de camas que posee el bien.,Integer
ID_USUARIO_MODIFICA_DESCUENTO_NO_AUTORIZADO,"Identificador único del usuario MobySuite que modificó el Descuento No
  Autorizado del bien.",Integer
PAGO_DPU,Indica si se acepta pago con un Departamento Usado.,Boolean
DESCRIPCION_INTERNA,"Indica la descripción interna del bien (campo que se completa en el gestión comercial, en cada bien)",Varchar
VALOR_LISTA_ORIGINAL,"Indica la descripción valor lista original (campo que se completa en el gestión comercial, en cada bien)",Decimal
ID_TIPO_BIEN,"Identificador único del tipo de bien (se vincula a la TIPO_BIEN_VIEW. Ejemplos: casa, departamento, etc)",Integer
FECHA_INICIO_ITEM,"En caso que el bien sea ítem, indica fecha inicial del mismo.",Date Time
SUP_LOGIA_MUNICIPAL,Superficie de lavandería o logia declarada en Municipalidad.,Double
SUP_JARDIN,Superficie jardín.,Double
FECHA_INACTIVO,Indica fecha en que el bien pasó a estar en estado Bloqueado.,Date Time
SUP_OTRAS,"Indica aquella superficie que posea el bien y que no esté detallada en
  las anteriores.",Double
DESCUENTO_NO_AUTORIZADO,"Descuento que se puede aplicar sobre el bien, pero que requiere
  autorización.",Decimal
SUP_TERRAZA_MUNICIPAL,Superficie terraza del bien declarada en Municipalidad.,Double
