Nombre,Tipo de Dato,Descripción
ID_CLIENTE,Integer,Identificador único del elemento.
RUT,Varchar,"Rol único Triburario del cliente, tiene validación, no se repite."
DNI,Boolean,Indica si el dato ingresado en RUT es o no DNI (para extranjeros por ej)
NOMBRE,Varchar,Nombre del cliente con el que se registra por primera vez en la DB.
APELLIDO,Varchar,Apellido del cliente con el que se registra por primera vez en la DB.
RAZON_SOCIAL,Varchar,"Detalla el nombre de la razón social del cliente, cuando es persona
  Jurídica."
TIPO_RAZON_SOCIAL,Varchar,Indica si es Persona Natural o Persona Jurídica.
EMAIL,Varchar,Dirección de email del cliente.
TELEFONO1,Varchar,Número de teléfono del cliente.
TELEFONO2,Varchar,Número de teléfono alternativo del cliente.
CALLE,Varchar,Indica nombre de calle donde vive el cliente.
CIUDAD,Varchar,Ciudad donde vive y a la cuál pertenece la calle indicada.
CODIGO_POSTAL,Varchar,Código Postal de la ciudad donde reside el cliente.
REGION,Varchar,Región a la que pertenece la ciudad donde reside el cliente.
COMUNA,Varchar,Comuna a la que pertenece la residencia del cliente.
NUM_EXTERIOR,Varchar,Indica numeración externa de la calle donde declara dirección.
NUM_INTERIOR,Varchar,"Indica numeración interna de la calle donde declara dirección (Ej: número
  de depto)"
PAIS,Varchar,País donde reside el cliente.
REFERENCIA,Longtext,Detalla alguna referencia respecto de la dirección del cliente.
SEXO,Varchar,Género con el cuál el cliente se siente identificado.
ESTADO_CIVIL,Varchar,"Estado civil del cliente (Soltero, casado, etc)"
REG_PATRIMONIAL,Varchar,"Indica condición patrimonial conyugal (Sociedad, separación de bienes,
  etc.)"
NACIONALIDAD,Varchar,País de origen del cliente.
FECHA_NACIMIENTO,Date Time,Indica fecha de nacimiento del cliente
FECHA_INGRESO,Date Time,"Indica fecha en la que el cliente ingresa a la Base de Clientes de
  MobySuite."
FECHA_IMPORTACION,Date Time,"Si el cliente fue importado al sistema por BD, indica fecha de la misma."
FECHA_ULTIMA_COTIZACION,Date Time,Indica fecha de la última cotización del cliente.
RANGO_EDAD,Varchar,Rango al que pertenece la edad que el cliente posee.
PROFESION,Varchar,Profesión del cliente.
RATING,Varchar,Indica la expectativa de compra que tenemos sobre este cliente.
TIPO_COMPRADOR,Varchar,Indica si es persona natural o inversionista.
CONYUGUE_NOMBRE,Varchar,Detalla el nombre del cónyuge del cliente.
CONYUGUE_APELLIDO,Varchar,Detalla el apellido del cónyuge del cliente.
EMAIL_CONYUGUE,Varchar,Indica el mail del cónyuge del cliente.
TELEFONO1_CONYUGUE,Varchar,Indica el teléfono del cónyuge del cliente.
DESTINO_COMPRA,Varchar,"Indica si es Primera o Segunda vivienda, o si es Inversión."
GRUPO_FAMILIAR,Varchar,"Indica rango de cantidad de personas que componen su grupo familiar
  primario."
ACTIVIDAD,Varchar,"Indica si el cliente se desempeña como empleado fijo, independiente, por
  honorarios, etc."
RANGO_RENTA,Varchar,Indica el rango al cuál corresponde su nivel de renta.
CASA_ESTUDIOS,Varchar,Detalla establecimiento dónde el cliente estudia o estudió.
ACTIVIDAD_CARGO,Varchar,Indica la actividad laboral o cargo en que el cliente se desempeña.
EMPLEADOR,Varchar,Detalla la empresa u organización empleadora del cliente.
RUT_EMPLEADOR,Varchar,Indica el RUT del empleador del cliente.
ANTIGUEDAD,Varchar,"Indica antigüedad que posee el cliente desarrollándose en la actividad
  descripta."
INDEPENDIENTE_TIPO_CARGO,Varchar,Detalla actividad o cargo que desempeña en forma independiente.
DIRECCION_LABORAL,Varchar,"Indica la dirección en la que el cliente desarrolla sus actividades
  laborales."
COMUNA_LABORAL,Varchar,Indica comuna a la cuál corresponde la dirección laboral.
CANTIDAD_NEGOCIOS,Integer,Indica la cantidad de contratos que el cliente posee con nosotros.
ROS,Boolean,"Indica si el cliente aplica como ROS (Reporte de Operaciones Sospechosas)
  o no."
PEP,Boolean,"Indica si el cliente aplica como PEP (Persona Expuesta Politicamente) o
  no."
PEP_PARIENTE_SEGUNDO_GRADO,Boolean,Indica si el cliente es pariende de una persona PEP o no.
PEP_PACTO_ACTUACION_CONJUNTA,Boolean,Indica si el cliente actúa en sociedad con alguien PEP.
RECIBIR_NOVEDADES,Boolean,Indica si el cliente está de acuerdo con recibir o no novedades.
WEB_PASSWORD,Varchar, Dato asociado a pagos web del cliente.
WEB_FRASE,Varchar, Dato asociado a pagos web del cliente.
WEB_ACTIVO,Boolean, Dato asociado a pagos web del cliente.
RUT_REPRESENTANTE_LEGAL,Varchar,"Indica RUT del representante legal 1, del cliente Persona Jurídica."
NOMBRE_REPRESENTANTE_LEGAL,Varchar,"Indica Nombre del representante legal 1, del cliente Persona Jurídica."
NACIONALIDAD_REPRESENTANTE_LEGAL,Varchar,"Indica Nacionalidad del representante legal 1, del cliente Persona
  Jurídica."
ESTADO_CIVIL_REPRESENTANTE_LEGAL,Varchar,"Indica estado civil del representante legal 1, del cliente Persona
  Jurídica."
PROFESION_REPRESENTANTE_LEGAL,Varchar,"Indica profesión del representante legal 1, del cliente Persona Jurídica."
