Nombre,Descripción,Tipo de Dato
ID_VALIJA,Identificador único de la valija,Integer
ESTADO_RECIBO_PAGO,Muestra el estado del recibo de pago,Varchar
ESTADO_CONTABLE,"Indica el estado asignado por contabilidad (Depositado, En cartera,
  Conciliado, etc.)",Varchar
NOMBRE_BANCO,Banco vinculante al tipo de pago.,Varchar
FECHA_TIPO_PAGO,"Indica la fecha detallada en el documento asociado al pago (ej: si paga
  con cheque, es la fecha del mismo)",Date Time
MONTO_PESOS_CONTABLE,Indica el monto en pesos chilenos del pago registrado por contabilidad.,Decimal
OBSERVACION,"Observación cargada a la hora de registrar el pago, se visualiza en el recibo.",Text
FECHA_CAPTURA_DOCUMENTO,Fecha en la que se capturó el documento,Fecha
ID_RECIBO,"Identificador único del recibo, asociado al pago.",Integer
CODIGO_AUTORIZACION,Código de autorización del pago,Varchar
ID_CONTRATO,Identificador único del contrato asociado al pago.,Integer
MONTO_PACTADO_UF,Monto pactado para el pago en UF.,Decimal
MONTO_UF_CONTABLE,Indica el monto en UF del pago registrado por contabilidad.,Decimal
CUOTA,"Número de cuota que está pagando el
  cliente.",Integer
ESTADO,Indica si el pago se encuentra Documentado o Pagado efectivamente.,Varchar
DOCUMENTADO_PESOS,Monto pagado por el cliente en pesos chilenos.,Decimal
DOCUMENTADO_UF,Monto pagado por el cliente en UF.,Decimal
MONTO_PACTADO_PESOS,Monto pactado para el pago en pesos chilenos.,Decimal
FECHA_PAGO,"Indica fecha que se toma de la UF, se puede cambiar al documentar o al
  contabilizar.",Date Time
TIPO_DOCUMENTO,"Tipo de Pago (Cheque, Transbank, Depósito, Transferencia, etc.)",Varchar
ID_PAGOS,Identificador único del pago.,Integer
FECHA_PACTADA,Indica fecha pactada de pago para esa cuota.,Date Time
DESCRIPCION_PAGO,"Describe el ítem que está pagando (Cierre de negocio, cuotas de la
  construcción, etc.)",Varchar
SERIE_PAGO,Número de serie del cheque.,Varchar
