Nombre,Tipo de Dato,Descripción
ID_CONTRATO,Integer,Identificador único del elemento.
ESTADO_CONTRATO,Varchar,"Indica estado en que se encuentra el contrato (Reservado, Promesado,
  etc.)"
PRECIO_TOTAL,Decimal,Indica el valor total del contrato.
FECHA_REGISTRO,Date Time,Indica fecha en la que el contrato se registra en el sistema.
FECHA_CONTRATO,Date Time,Fecha en que el contrato se efectuó.
FECHA_RESERVA,Date Time,"Indica fecha en la que el contrato pasa a estado Reservado en
  el sistema."
MONTO_RESERVA,Decimal,Indica el monto pactado como Reserva.
FECHA_TIPO_PAGO,Date Time,Indica fecha en la que se abonó la reserva.
TIPO_PAGO,Varchar,"Indica el tipo de pago (cheque, depósito, transferencia, etc.)"
SERIE_TIPO_PAGO,Varchar,"Detalla número de serie del tipo de pago, si corresponde. (ej: serie de
  un cheque)"
NUMERO_TIPO_PAGO,Varchar,"Detalla número de cheque, si el tipo de pago fue este."
NOMBRE_BANCO,Varchar,Detalla el Banco al que se encuentra asociado el Tipo de pago.
NUMERO_CUENTA,Varchar,Detalla número de cuentra bancaria asociada al Tipo de pago.
CODIGO_AUTORIZACION,Varchar,Detalla código de autorización asociado al Tipo de pago.
NUMERO_CUOTAS,Integer,Indica el número de cuotas en que se realiza el pago.
PAGO_DPU,Boolean,Indica si se pagó con un Departamento Usado.
OBSERVACION,Text,Detalla observación cargada al momento del registro del Tipo de Pago.
URL_COMPROBANTE_PAGO,Text,"Indica la URL al archivo adjunto en el pago (ej: Foto cheque, pdf
  trasferencia, etc.)"
FECHA_APROBACION_RESERVA,Date Time,Indica fecha en que la reserva fue aprobada.
RESERVA_APROBADA,Boolean,Indica si la reserva fue o no aprobada.
SOLICITUD_REVERSA,Varchar,Indica si la reversa del contrato fue solicitada o no.
HASH_DOCUMENTO,Varchar,Indica el hash para identificar el pdf de la Oferta de Compra.
ID_USUARIO_APROBACION_RESERVA,Integer,"Identificador único del usuario Mobysuite que aprueba reserva de
  contrato."
ID_EJECUTIVO_SOLICITUD_REVERSA,Integer,"Identificador único del usuario Mobysuite que solicita reversa de
  contrato."
ID_CLIENTE,Integer,Identificador único del cliente asociado al contrato.
ID_COTIZACION,Integer,Identificador único de la cotización asociada al contrato.
ID_USUARIO,Integer,Identificador único del usuario Mobysuite asociado al contrato.
ID_PROYECTO,Integer,Identificador único del proyecto asociado al contrato.
VERSION,Integer,Indicador para desarrolladores a la hora de realizar alguna modificación.
ELIMINADO,Boolean,"Indica si dicho contrato se eliminó del sistema (es decir, si se reversó
  o no)"
FECHA_REVERSA,Date Time,"Detalla fecha de reversa real, en caso de haber sido reversado."
FECHA_REGISTRO_REVERSA,Date Time,Detalla fecha en la que la reversa fue registrada en el sistema.
TIPO_REVERSA,Varchar,Indica el motivo por el cual se reversó el contrato. El mismo se completa en el sistema al momento de reversar.
OBSERVACION_REVERSA,Text,Indica el comentario que deja el usuario al momento de reversar un contrato.
MULTA_UF,Decimal,Indica el monto de multa en UF que se completa al momento de reversar el contrato.
MULTA_MONEDA_LOCAL,Decimal,Indica el monto de multa en pesos que se completa al momento de reversar el contrato.
ESTADO_ESCRITURACION,Varchar,Último estado de escrituración que tiene el contrato.
BANCO_FINANCIAMIENTO_PREVIO,Varchar,"Banco cargado al momento de escriturar, donde el cliente solicitará el crédito."
GENERICO_SELECT_1,Varchar,"Es un campo parametrizable en el sistema, de tipo select, que se visualiza en el módulo de escrituración."
GENERICO_MULTISELECT_1,Text,"Es un campo parametrizable en el sistema, de tipo multiselect, que se visualiza en el módulo de escrituración."
GENERICO_INPUT_1,Varchar,"Es un campo parametrizable en el sistema, de tipo input, que se visualiza en el módulo de escrituración."
GENERICO_DATE_1,Date,"Es un campo parametrizable en el sistema, de tipo fecha, que se visualiza en el módulo de escrituración."
GENERICO_USUARIO_1,Integer,"Es un campo parametrizable en el sistema, de tipo usuario, que se visualiza en el módulo de escrituración."
FECHA_ESTADO,Date Time,Indica la fecha del último estado de escrituración que tiene el contrato.
CANTIDAD_BIENES_MAESTROS,Integer,Bienes maestros que contiene el contrato.
TIPO_BIEN_PRINCIPAL,Text,Tipo de bien principal que maneja el contrato.
BIENES,Text,Bienes que estan en el contrato.
OBSERVACIONES_ESTADO_ESCRITURACION,Text,Muestra la observación que se le asignó al estado de la escritura
FECHA_FIRMA_ESCRITURA_CLIENTE,DateTime,Fecha en la que se firmó la escritura
ULTIMA_UTM_SOURCE,Varchar,
ULTIMA_UTM_CAMPAIGN,Varchar,
