Nombre,Descripción,Tipo de Dato
CANTIDAD_BIENES_MAESTROS,Bienes maestros que contiene el contrato.,Integer
OBSERVACIONES_ESTADO_ESCRITURACION,Muestra la observación que se le asignó al estado de la escritura,Text
BIENES,Bienes que estan en el contrato.,Text
PAGO_DPU,Indica si se pagó con un Departamento Usado.,Boolean
TIPO_BIEN_PRINCIPAL,Tipo de bien principal que maneja el contrato.,Text
TIPO_PAGO,"Indica el tipo de pago (cheque, depósito, transferencia, etc.)",Varchar
OBSERVACION,Detalla observación cargada al momento del registro del Tipo de Pago.,Text
FECHA_REVERSA,"Detalla fecha de reversa real, en caso de haber sido reversado.",Date Time
URL_COMPROBANTE_PAGO,"Indica la URL al archivo adjunto en el pago (ej: Foto cheque, pdf
  trasferencia, etc.)",Text
PRECIO_TOTAL,Indica el valor total del contrato.,Decimal
GENERICO_MULTISELECT_1,"Es un campo parametrizable en el sistema, de tipo multiselect, que se visualiza en el módulo de escrituración.",Text
ID_USUARIO_APROBACION_RESERVA,"Identificador único del usuario Mobysuite que aprueba reserva de
  contrato.",Integer
ID_COTIZACION,Identificador único de la cotización asociada al contrato.,Integer
OBSERVACION_REVERSA,Indica el comentario que deja el usuario al momento de reversar un contrato.,Text
FECHA_FIRMA_ESCRITURA_CLIENTE,Fecha en la que se firmó la escritura,DateTime
ULTIMA_UTM_CAMPAIGN,,Varchar
BANCO_FINANCIAMIENTO_PREVIO,"Banco cargado al momento de escriturar, donde el cliente solicitará el crédito.",Varchar
NOMBRE_BANCO,Detalla el Banco al que se encuentra asociado el Tipo de pago.,Varchar
GENERICO_SELECT_1,"Es un campo parametrizable en el sistema, de tipo select, que se visualiza en el módulo de escrituración.",Varchar
ULTIMA_UTM_SOURCE,,Varchar
MULTA_UF,Indica el monto de multa en UF que se completa al momento de reversar el contrato.,Decimal
FECHA_ESTADO,Indica la fecha del último estado de escrituración que tiene el contrato.,Date Time
FECHA_TIPO_PAGO,Indica fecha en la que se abonó la reserva.,Date Time
TIPO_REVERSA,Indica el motivo por el cual se reversó el contrato. El mismo se completa en el sistema al momento de reversar.,Varchar
FECHA_RESERVA,"Indica fecha en la que el contrato pasa a estado Reservado en
  el sistema.",Date Time
NUMERO_CUOTAS,Indica el número de cuotas en que se realiza el pago.,Integer
FECHA_REGISTRO,Indica fecha en la que el contrato se registra en el sistema.,Date Time
HASH_DOCUMENTO,Indica el hash para identificar el pdf de la Oferta de Compra.,Varchar
ELIMINADO,"Indica si dicho contrato se eliminó del sistema (es decir, si se reversó
  o no)",Boolean
ID_CLIENTE,Identificador único del cliente asociado al contrato.,Integer
ID_PROYECTO,Identificador único del proyecto asociado al contrato.,Integer
NUMERO_TIPO_PAGO,"Detalla número de cheque, si el tipo de pago fue este.",Varchar
GENERICO_USUARIO_1,"Es un campo parametrizable en el sistema, de tipo usuario, que se visualiza en el módulo de escrituración.",Integer
CODIGO_AUTORIZACION,Detalla código de autorización asociado al Tipo de pago.,Varchar
MULTA_MONEDA_LOCAL,Indica el monto de multa en pesos que se completa al momento de reversar el contrato.,Decimal
MONTO_RESERVA,Indica el monto pactado como Reserva.,Decimal
RESERVA_APROBADA,Indica si la reserva fue o no aprobada.,Boolean
NUMERO_CUENTA,Detalla número de cuentra bancaria asociada al Tipo de pago.,Varchar
ESTADO_ESCRITURACION,Último estado de escrituración que tiene el contrato.,Varchar
ID_EJECUTIVO_SOLICITUD_REVERSA,"Identificador único del usuario Mobysuite que solicita reversa de
  contrato.",Integer
FECHA_REGISTRO_REVERSA,Detalla fecha en la que la reversa fue registrada en el sistema.,Date Time
SERIE_TIPO_PAGO,"Detalla número de serie del tipo de pago, si corresponde. (ej: serie de
  un cheque)",Varchar
ID_CONTRATO,Identificador único del elemento.,Integer
FECHA_APROBACION_RESERVA,Indica fecha en que la reserva fue aprobada.,Date Time
FECHA_CONTRATO,Fecha en que el contrato se efectuó.,Date Time
GENERICO_INPUT_1,"Es un campo parametrizable en el sistema, de tipo input, que se visualiza en el módulo de escrituración.",Varchar
VERSION,Indicador para desarrolladores a la hora de realizar alguna modificación.,Integer
GENERICO_DATE_1,"Es un campo parametrizable en el sistema, de tipo fecha, que se visualiza en el módulo de escrituración.",Date
SOLICITUD_REVERSA,Indica si la reversa del contrato fue solicitada o no.,Varchar
ID_USUARIO,Identificador único del usuario Mobysuite asociado al contrato.,Integer
ESTADO_CONTRATO,"Indica estado en que se encuentra el contrato (Reservado, Promesado,
  etc.)",Varchar
