Nombre,Tipo de Dato,Descripción
ID_CONTRATO_DOCUMENTO,Integer,Identificador único del elemento.
ID_CONTRATO,Integer,Identificador único del contrato al que pertenece el documento.
ORDEN,Integer,Muestra el orden en el que se mostrara el documento.
TIPO_DOCUMENTO,Varchar,"Indica el tipo de documento (Ej: Cédula de identidad, comprobante de pago reserva, Reserva(sistema))"
ACTIVO,TinyInt,Indica si el documento se encuentra en uso.
REQUERIDO,TinyInt,Indica si el documento es obligatorio.
CARGADO,TinyInt,Indica si el documento esta cargado en la bd.
ESTADO_APROBACION,Varchar,"Indica si el documento esta aprobado o no (Ej: Aprobado, No aprobado, Sin estado)"
FECHA_REGISTRO,Date Time,Indica la fecha en la que se registró el documento.
FECHA_CARGA_DOCUMENTO,Date Time,Indica la fecha en la que se cargó el documento.
FECHA_AUTORIZACION,Date Time,Indica la fecha en la que se autorizó el documento.
FECHA_ACTUALIZACION,Date Time,Indica la fecha en la que se actualizó el documento.
FECHA_ACTUALIZACION_AUTORIZACION,Date Time,Indica la fecha en la que se autrizó la actualización el documento.
ID_USUARIO_CARGA_DOCUMENTO,Integer,Idetificador único del usuario que cargo el documento a la base de datos.
ID_USUARIO_AUTORIZACION,Integer,Idetificador único del usuario que autorizó el documento.
ID_USUARIO_ACTUALIZACION,Integer,Idetificador único del usuario que actualizó el documento.
ID_USUARIO_ACTUALIZACION_AUTORIZACION,Integer,Idetificador único del usuario que autorizó la actualización del documento.
