Nombre,Descripción,Tipo de Dato
VERSION,Indicador para desarrolladores a la hora de realizar alguna modificación.,Integer
AUTORIZADO,Indica si el descuento aplicado es autorizado o no autorizado.,Boolean
ID_COT_DESC,"Identificador único del descuento en
  cotización.",Integer
MONTO_PORCENTAJE,Indica el descuento aplicado en un valor porcentual.,Decimal
MONTO_CONSTANTE,Monto en pesos del descuento een UF.,Decimal
NOMBRE_DESCUENTO,"Detalla si el descuento es por proyecto, por contrato, no autorizado,
  etc.",Varchar
MONTO_PESOS,Monto en pesos del descuento aplicado.,Decimal
FECHA,Fecha en que se aplica el descuento a la cotización.,Date Time
ID_COTIZACION,Identificador único de la cotización a la que se aplicó el descuento.,Integer
ID_USUARIO,Identificador único del usuario MobySuite que aplicó el descuento.,Integer
