Nombre,Tipo de Dato,Descripción
ID_COTIZ_ITEM,Integer,Identificador único del ítem cotización.
PRECIO_LISTA,Decimal,Valor lista del bien cotizado.
PRECIO_ADICIONAL,Decimal,Valor de adicional aplicado a la cotización.
PRECIO_VENTA,Decimal,Valor al que finalmente se vende el bien.
APLICA_PRECIO_ADICIONAL,Boolean,Indica si se aplica o no un adicional en la cotización.
ID_BIEN,Integer,Identificador único del bien cotizado.
ID_COTIZACION,Integer,Identificador único de la cotización.
ID_USUARIO,Integer,Identificador único del usuario que realizó la cotización.
VERSION,Integer,Indicador para desarrolladores a la hora de realizar alguna modificación.
PRECIO_IVA,Decimal,Valor IVA cargado al bien.
APLICA_PRECIO_IVA,Boolean,Indica si el valor IVA se aplicó o no en la cotización.
