Nombre,Descripción,Tipo de Dato
TASA,Tasa de interés que se completa a la hora de escriturar un contrato.,Varchar
REPERTORIO,Número repertorio que se completa a la hora de escriturar un contrato.,Varchar
TELEFONO_BANCO,Teléfono banco que se completa a la hora de escriturar un contrato.,Varchar
FDA_PAGADO,Indica si los Fondos de Administración están pagados,Varchar
BANCO,Banco que se carga al escriturar un contrato.,Varchar
ELIMINADO,Indica si el contrato está reversado o no.,Booleano
EJECUTIVO_BANCO,Ejecutivo Banco que se completa a la hora de escriturar un contrato.,Varchar
TASA_INTERES_FDA,Indica tasa de interés con que se paga el Fondo de administración.,Varchar
TIPO_CREDITO,Tipo de financiamiento que se completa a la hora de escriturar un contrato.,Varchar
TELEFONO_NOTARIA,Teléfono notaría que se completa a la hora de escriturar un contrato.,Varchar
ID_CONTRATO,Identificador único del contrato,Integer
ID_PROYECTO,Identificador único del proyecto.,Integer
EJECUTIVO_NOTARIA,Ejecutivo Notaría que se completa a la hora de escriturar un contrato.,Varchar
ID_USUARIO,Usuario que escritura un contrato.,Integer
ID_ESCRITURACION,Identificador único de escrituración.,Integer
NOTARIA,Nombre de notaría que se completa a la hora de escriturar un contrato.,Varchar
PLAZO_MESES_FDA,Indica meses en que se paga el Fondo de administración.,Varchar
FECHA_FIRMA_ESCRITURA,Fecha firma escritura que se completa a la hora de escriturar un contrato.,Date Time
