Nombre,Tipo de Dato,Descripción
ID_CONTRATO_LOG,Integer,Identificador único del cambio en el contrato
ID_CONTRATO,Integer,Identificador del contrato
FECHA,Date Time,Fecha de cambio
TIPO_MODIFICACION,Varchar,Tipo de modificación
ACCION,Varchar,Acción que se realizó
OBSERVACION,Text,Observación de los cambios que se realizaron
ID_COTIZ_ITEM,Integer,Identificador único de la relación entre la cotización y el bien
ID_USUARIO,Integer,Identificador único del usuario
VALOR_ANTIGUO,Varchar,Valor antiguo del contrato
VALOR_NUEVO,Varchar,Valor nuevo en el contrato
URL_ARCHIVO,Varchar,URL del archivo en casod e que se haya cambbiado
ORIGEN_MODIFICACION,Varchar,Origen de la modificación
