Nombre,Tipo de Dato,Descripción
ID_EVENTO_CONTACTO,Integer,"Identificador único
  del contacto."
DESCRIPCION,Text,"Detalla el evento (cotización, reserva,
  llamada, actualización, etc.)"
OBSERVACION,Text,"Observación cargada por el usuario al
  gestionar el evento."
FECHA_REGISTRO,Date Time,"Indica fecha en que el evento se registró
  en el sistema."
FECHA_PROGRAMADA,Date Time,"Indica fecha en la que se programa un
  evento o atención al cliente."
FECHA_ATENCION,Date Time,Indica fecha en que el evento finaliza.
ESTATUS,Varchar,"Detalla estado en que se encuentra el
  evento (finalizado, contactar, etc.)"
RATING,Varchar,"Detalla expectativa del evento sobre ese
  cliente."
ID_USUARIO,Integer,"Identificador único del usuario
  MobySuite."
ID_USUARIO_ATENCION,Integer,"Identificador único del usuario que
  gestionó el evento."
ID_USUARIO_ASIGNA_EVENTO,Integer,"Identificador único del usuario al que se
  le asignó el evento."
ID_PROYECTO,Integer,"Identificador único del proyecto al que
  pertenece el evento."
ID_TIPO_CONTACTO,Integer,"Identificador único del tipo de contacto
  asociado al evento."
ID_MEDIO,Integer,"Identificador único del Medio de
  Información asociado al evento."
ID_TOKI,Integer,Identificador único del usuario en toky.
ID_EVENTO,Integer,Identificador único del Evento.
RESPUESTA,Varchar,Mobymeet. Permite identificar la respuesta del ejecutivo a la cita.
CITA,Boolean,"Indica si el evento fue una visita
  presencial o no."
TOKEN,Text,"Mobymeet. Al
  realizar un agendamiento se guarda un token, identifica cuando se
  acepta/rechaza la cita ó videoconferencia."
URL_VIDEOCONFERENCIA,Text,"Mobymeet. 
  Permite conocer dónde se realizará la videoconferencia y que pueda
  abrir la URL desde mobysuite después de ser aceptada la reunión."
UTM_CAMPAIGN,Varchar,Mostrará la utm con el tipo de campaña. (siempre que esté integrado)
UTM_CONTENT,Varchar,Mostrará la utm con el contenido de la misma. (siempre que esté integrado)
UTM_MEDIUM,Varchar,Mostrará la utm del medio de la campaña. (siempre que esté integrado)
UTM_SOURCE,Varchar,Mostrará la utm del motor de búsqueda. (siempre que esté integrado)
UTM_TERMN,Varchar,Mostrará la utm con las palabras que te posicionan. (siempre que esté integrado)
TIPO_GESTION,Varchar,Indica si la gestión fue del sistema o del ejecutivo.
ESPONTANEA,Boolean,"Input que se completa al registrar una visita, para identificar si fue espontánea."
AGENDADA,Boolean,"Input que se completa al registrar una visita, para identificar si fue agendada."
REVISITA,Boolean,"Input que se completa al registrar una visita, para identificar si fue revisita."
TAREA_PROSPECTO,Boolean,Asignar una tarea nueva que se realizará al prospecto
TITULO,Varchar,Indica el título de la tarea (ya sea manual o automática)
ELIMINADO,Boolean,Indica si el evento_contacto se eliminó o si no.
ID_COTIZACION,Integer,Indica el identificador único de la cotización relacionada al evento contacto
ID_EVENTO_CONTACTO_IMPORTACION,Integer,Indica el identificador único del evento contacto importación relacionado al evento contacto
TIPO_CONTACTO_CLIENTE,Varchar,Indica el tipo de contacto del evento
