Nombre,Descripción,Tipo de Dato
ID_USUARIO_ATENCION,"Identificador único del usuario que
  gestionó el evento.",Integer
FECHA_PROGRAMADA,"Indica fecha en la que se programa un
  evento o atención al cliente.",Date Time
ID_EVENTO,Identificador único del Evento.,Integer
ID_EVENTO_CONTACTO_IMPORTACION,Indica el identificador único del evento contacto importación relacionado al evento contacto,Integer
FECHA_REGISTRO,"Indica fecha en que el evento se registró
  en el sistema.",Date Time
ID_COTIZACION,Indica el identificador único de la cotización relacionada al evento contacto,Integer
OBSERVACION,"Observación cargada por el usuario al
  gestionar el evento.",Text
RESPUESTA,Mobymeet. Permite identificar la respuesta del ejecutivo a la cita.,Varchar
TAREA_PROSPECTO,Asignar una tarea nueva que se realizará al prospecto,Boolean
FECHA_ATENCION,Indica fecha en que el evento finaliza.,Date Time
ID_PROYECTO,"Identificador único del proyecto al que
  pertenece el evento.",Integer
UTM_MEDIUM,Mostrará la utm del medio de la campaña. (siempre que esté integrado),Varchar
RATING,"Detalla expectativa del evento sobre ese
  cliente.",Varchar
TIPO_CONTACTO_CLIENTE,Indica el tipo de contacto del evento,Varchar
DESCRIPCION,"Detalla el evento (cotización, reserva,
  llamada, actualización, etc.)",Text
ID_EVENTO_CONTACTO,"Identificador único
  del contacto.",Integer
UTM_SOURCE,Mostrará la utm del motor de búsqueda. (siempre que esté integrado),Varchar
UTM_TERMN,Mostrará la utm con las palabras que te posicionan. (siempre que esté integrado),Varchar
TITULO,Indica el título de la tarea (ya sea manual o automática),Varchar
ID_TOKI,Identificador único del usuario en toky.,Integer
ID_USUARIO_ASIGNA_EVENTO,"Identificador único del usuario al que se
  le asignó el evento.",Integer
ELIMINADO,Indica si el evento_contacto se eliminó o si no.,Boolean
TOKEN,"Mobymeet. Al
  realizar un agendamiento se guarda un token, identifica cuando se
  acepta/rechaza la cita ó videoconferencia.",Text
URL_VIDEOCONFERENCIA,"Mobymeet. 
  Permite conocer dónde se realizará la videoconferencia y que pueda
  abrir la URL desde mobysuite después de ser aceptada la reunión.",Text
AGENDADA,"Input que se completa al registrar una visita, para identificar si fue agendada.",Boolean
ID_USUARIO,"Identificador único del usuario
  MobySuite.",Integer
ID_TIPO_CONTACTO,"Identificador único del tipo de contacto
  asociado al evento.",Integer
UTM_CAMPAIGN,Mostrará la utm con el tipo de campaña. (siempre que esté integrado),Varchar
CITA,"Indica si el evento fue una visita
  presencial o no.",Boolean
REVISITA,"Input que se completa al registrar una visita, para identificar si fue revisita.",Boolean
UTM_CONTENT,Mostrará la utm con el contenido de la misma. (siempre que esté integrado),Varchar
ESTATUS,"Detalla estado en que se encuentra el
  evento (finalizado, contactar, etc.)",Varchar
ESPONTANEA,"Input que se completa al registrar una visita, para identificar si fue espontánea.",Boolean
ID_MEDIO,"Identificador único del Medio de
  Información asociado al evento.",Integer
TIPO_GESTION,Indica si la gestión fue del sistema o del ejecutivo.,Varchar
