Nombre,Descripción,Tipo de Dato
AVANCE_UF,Indica el monto en UF de avance.,Decimal
AVANCE_ITEMS,Indica el monto de bienes/items de avance.,Integer
FECHA_INICIO,Indica la fecha inicio desde la que se considera la meta.,Date Time
AVANCE_PESOS,Indica el monto en pesos de avance.,Decimal
ID_USUARIO,Identificador único del usuario.,Integer
TIPO_MONTO_META,"Indica el tipo en que se expresan las metas (UF, Moneda Local, bienes o items)",Varchar
TIPO_META,"Indica el tipo de meta (por proyecto, por vendedor, etc)",Varchar
META_ITEMS,Indica el monto de bienes/items propuestos en la meta.,Integer
META_UF,Indica el monto en UF propuestos en la meta.,Decimal
ID_PROYECTO,Identificador único del proyecto.,Integer
FECHA_FIN,Indica la fecha fin desde la que se considera la meta.,Date Time
ID_METAS,Identificador único de la meta.,Integer
ID_EMPRESA,Identificador único de la empresa.,Integer
META_ALCANZADA,Indica si la meta se ha cumplido o no.,Integer
NOMBRE_META,Indica el nombre de la meta.,Varchar
VERSION,Indicador para desarrolladores a la hora de realizar alguna modificación.,Integer
META_PESOS,Indica el monto en pesos propuestos en la meta.,Decimal
