Nombre,Tipo de Dato,Descripción
ID_PAGOS,Integer,"Identificador único
  de un pago."
NUMERO_CUOTA,Integer,"Indica número de cuota del plan de pagos
  que se está pagando."
DESC_PAGOS,Varchar,"Detalla la descripción de la cuota (cuota
  durante construcción, cierre de negocio, crédito, etc.)"
FECHA_PAGO_UTC,Date Time,"Indica fecha en la que se registra el
  pago."
FECHA_PAGO_TIME_ZONE,Varchar,"Detalla zona horaria en la que toma la
  fecha de pago."
FECHA_PAGO_UF,Date Time,"Indica fecha que toma el sistema para tomar el valor de UF, a la hora de registrar un pago."
MONTO_PAGO,Decimal,Detalla el monto pagado en pesos.
ESTADO,Varchar,"Indica el estado actual de ese pago
  (Documentado, Pagado, etc.)"
CODIGO,Varchar,"Detalla código
  asociado al pago, si se quiere pagar vía web."
PORCENTAJE_TIPO_CALCULO,Varchar,"Detalla el tipo de
  cálculo que se usa para obtener el porcentaje (valor venta negocio, valor
  venta bien maestro). "
ORIGINAL,Boolean,"Indica
  si ese pago es original de la cotización o no, es decir, si venia
  originalmente en la cotización o fue agregado después."
CUOTA,Boolean,"Indica si el pago corresponde o no a una
  cuota."
PAGO_AJUSTE,Boolean,Indica si el pago es o no pago de ajuste.
CIERRE_NEGOCIO,Boolean,"Indica si el ítem pagado es o no cierre
  de negocio."
APLICA_AL_PLAN_DE_PAGO,Boolean,"Indica si el ítem pagado aplica o no al
  100% del plan de pagos."
REQUERIDO_PROMESAR,Boolean,"Indica si el ítem pagado es requerido
  como pagado a la hora de pasar a la promesa."
VISIBLE,Boolean,"Indica si dicho pago aparece en el plan
  de pagos o no (ej: Gastos Operacionales)"
MOSTRAR_EN_REPORTES,Boolean,"Indica si dicho pago se muestra o no en
  los reportes."
ID_CONTRATO,Integer,Identificador único del contrato.
ID_FORMA_PAGO,Integer,Identificador único de la forma de pago.
VERSION,Integer,"Indicador para desarrolladores a la hora
  de realizar alguna modificación."
ORDEN,Integer,"Indica el orden en que aparece el ítem en
  la forma de pago."
IS_ONECLICK,Boolean,Indica si se pagó con one click o no.
