Nombre,Descripción,Tipo de Dato
ORIGINAL,"Indica
  si ese pago es original de la cotización o no, es decir, si venia
  originalmente en la cotización o fue agregado después.",Boolean
PORCENTAJE_TIPO_CALCULO,"Detalla el tipo de
  cálculo que se usa para obtener el porcentaje (valor venta negocio, valor
  venta bien maestro). ",Varchar
CODIGO,"Detalla código
  asociado al pago, si se quiere pagar vía web.",Varchar
ID_FORMA_PAGO,Identificador único de la forma de pago.,Integer
ESTADO,"Indica el estado actual de ese pago
  (Documentado, Pagado, etc.)",Varchar
VERSION,"Indicador para desarrolladores a la hora
  de realizar alguna modificación.",Integer
PAGO_AJUSTE,Indica si el pago es o no pago de ajuste.,Boolean
ID_PAGOS,"Identificador único
  de un pago.",Integer
MOSTRAR_EN_REPORTES,"Indica si dicho pago se muestra o no en
  los reportes.",Boolean
VISIBLE,"Indica si dicho pago aparece en el plan
  de pagos o no (ej: Gastos Operacionales)",Boolean
CUOTA,"Indica si el pago corresponde o no a una
  cuota.",Boolean
MONTO_PAGO,Detalla el monto pagado en pesos.,Decimal
ID_CONTRATO,Identificador único del contrato.,Integer
NUMERO_CUOTA,"Indica número de cuota del plan de pagos
  que se está pagando.",Integer
FECHA_PAGO_UTC,"Indica fecha en la que se registra el
  pago.",Date Time
IS_ONECLICK,Indica si se pagó con one click o no.,Boolean
REQUERIDO_PROMESAR,"Indica si el ítem pagado es requerido
  como pagado a la hora de pasar a la promesa.",Boolean
FECHA_PAGO_TIME_ZONE,"Detalla zona horaria en la que toma la
  fecha de pago.",Varchar
CIERRE_NEGOCIO,"Indica si el ítem pagado es o no cierre
  de negocio.",Boolean
DESC_PAGOS,"Detalla la descripción de la cuota (cuota
  durante construcción, cierre de negocio, crédito, etc.)",Varchar
ORDEN,"Indica el orden en que aparece el ítem en
  la forma de pago.",Integer
FECHA_PAGO_UF,"Indica fecha que toma el sistema para tomar el valor de UF, a la hora de registrar un pago.",Date Time
APLICA_AL_PLAN_DE_PAGO,"Indica si el ítem pagado aplica o no al
  100% del plan de pagos.",Boolean
