Nombre,Tipo de Dato,Descripción
ID_ESCRITURACION,Integer,"Identificador único
  de la escrituración."
BANCO,Varchar,"Indica el Banco al cuál se encuentra
  asociado el financiamiento del cliente."
EJECUTIVO_BANCO,Varchar,"Detalla persona del Banco que lleva a
  cabo el proceso."
EJECUTIVO_NOTARIA,Varchar,"Detalla persona de la Notaría que lleva a
  cabo el proceso."
FECHA_FIRMA_ESCRITURA_CLIENTE,Date Time,"Indica fecha en la que el cliente firma
  escritura."
NOTARIA,Varchar,"Indica el nombre de la Notaría donde se
  realiza el proceso de escrituración."
TELEFONO_BANCO,Varchar,"Detalla teléfono del Banco asociado al
  proceso de escrituración del cliente."
TELEFONO_NOTARIA,Varchar,"Detalla teléfono asociado a la notaría
  indicada en el proceso."
TIPO_CREDITO,Varchar,"Detalla qué tipo de financiamiento tiene
  asociada la escritura (ej: Crédito Hipotecario + Subsidio)"
TASA,Varchar,"Detalla tasa asociada al crédito, cargada
  en el proceso de escrituración en el sistema."
DESCRIPCION_PROCESO,Varchar,"Detalla qué hito del proceso es (Fecha
  entrega, fecha firma cliente, fecha de alzamiento, etc.)"
FECHA_PROCESO,Date Time,"Indica fecha en la que efectivamente
  ocurre el hito y se cargó al sistema."
FECHA_PROGRAMADA,Date Time,"Indica fecha en la que se estima se
  cumplirá cada hito del proceso descripto."
ID_COTIZACION,Integer,"Identificador único de la cotización
  asociada a la escritura."
ID_CONTRATO,Integer,"Identificador único del número de contrato
  que se escritura."
ID_USUARIO,Integer,"Identificador único del usuario que realiza la escrituración en el
  sistema."
REPERTORIO,Varchar,"Número de repertorio, asociado al bien del contrato."
FDA_PAGADO,Varchar,"Indica si el contrato se encuentra con el tipo de pago ""FDA""
  pagado o no."
PLAZO_MESES_FDA,Varchar,Indica plazo para abonar el tipo de pago FDA.
TASA_INTERES_FDA,Varchar,Indica intereses por plazo en el que se abona FDA.
FIRMA_CLIENTE,Tinyint,Indica si el cliente ha firmado la escritura o no.
FIRMA_INMOBILIARIA,Tinyint,"Indica si el representante legal de la inmobiliaria ha firmado la
  escritura o no."
FECHA_ENTREGA_VIVIENDA,Tinyint,Indica si el contrato tiene fecha de entrega de vivienda cargada o no.
FECHA_REGISTRO,Date Time,"Indica la fecha de captura del estado en el sistema (cuando se carga el
  estado al sistema)."
ESTADO_ESCRITURACION,Text,Indica el estado de escrituración en que se encuentra el contrato.
FECHA_ESTADO,Date Time,"Indica fecha en la que el contrato adquirió dicho estado de escrituración
  (realmente)."
OBSERVACION,Text,Detalla observación que se carga al cargar un estado de escrituración.
ID_USUARIO_ATENCION,Integer,Identificador unico del usuario de atención
