Nombre,Tipo de Dato,Descripción
FECHA_MODIFICACION,Date Time,Fecha en la que se realizó la modificación del proceso
ID_PROMESA,Integer,Identificador único de la promesa
DESCRIPCION,TinyText,Descripción del proceso
FECHA_FIRMA,Date Time,Fecha en la que se firma el proceso
FECHA_FIRMA_CLIENTE,Date Time,Feche registrada como que el cliente firmó el proceso
FECHA_FIRMA_CONTABILIDAD,Date Time,Fecha en la que se firma la contabiliadad
FECHA_VENCIMIENTO,Date Time,Fecha en la que se vence el tiempo del proceso
ASEGURADORA,Varchar,Nombre de aseguradora
TIPO_DOCUMENTO,Varchar,Tipo de documento asociado
FOLIO_DOCUMENTO,Varchar,Folio identificador de documento
MONTO_UF,Decimal,Monto UF ligado al proceso
BANCO,Varchar,Banco ligado al proceso
