Nombre,Tipo de Dato,Descripción
ID_PROMESA,Integer,Identificador único de la promesa.
FECHA_PROMESA,Date Time,Indica fecha real de la promesa.
FECHA_REGISTRO,Date Time,Indica fecha en que la promesa se registra en el sistema.
FECHA_AUTORIZACION,Date Time,Indica fecha en la que se autorizó pasar a estado Promesado el contrato.
NOTARIA,Tinytext,"Identifica la Notaría que se detalló a la hora de generar la promesa en
  el sistema."
ESTADO_AUTORIZACION,Text,"Indica si la promesa está autorizada, no autorizada o pendiente."
ID_CONTRATO,Integer,Identificador único del contrato.
ID_CLIENTE,Integer,Identificador único del cliente.
ELIMINADO,Boolean,Indica si el contrato ha sido reversado o no.
ID_PROYECTO,Integer,Identificador único del proyecto.
ID_USUARIO,Integer,Identificador único del usuario.
