Nombre,Tipo de Dato,Descripción
ID_PROYECTO,Integer,"Identificador único
  del proyecto."
RUT_PROYECTO,Varchar,Indica el RUT del proyecto indicado.
RUT_PROYECTO_PROMESA,Varchar,"Indica el RUT del proyecto que aparecerá
  en el documento de promesa."
NOM_PROYECTO,Varchar,"Indica el nombre con el que proyecto
  aparece en MobySuite."
NOM_LEGAL,Varchar,Indica el nombre legal del proyecto.
NOM_LEGAL_PROMESA,Varchar,"Indica nombre legal del proyecto que
  aparecerá en el documento de promesa."
NOMBRE_BANCO,Varchar,"Indica el Banco Inmobiliaria cargado en
  el proyecto."
ACTIVO,Boolean,"Indica si el proyecto se encuentra activo
  o no."
HORARIO_ATENCION_PROYECTO,Boolean,"Indica si el horario de atención cargado
  en el proyecto aparece o no en el mail de cotización."
CTACTE,Varchar,"Indica la cuenta corriente de la
  inmobiliaria cargada a este proyecto."
CALLE,Varchar,"Indica calle donde se encuentra ubicado
  el proyecto."
CIUDAD,Varchar,"Indica ciudad donde se encuentra ubicado
  el proyecto."
CODIGO_POSTAL,Varchar,"Indica número postal o altura de la calle
  donde se encuentra ubicado."
REGION,Varchar,"Indica region donde se encuentra ubicado
  el proyecto."
COMUNA,Varchar,"Indica comuna donde se encuentra ubicado
  el proyecto."
NUM_EXTERIOR,Varchar,"Indica número exterior o altura de la
  calle donde se encuentra ubicado."
NUM_INTERIOR,Varchar,"Indica número interior de la dirección
  (ej: casa 4, departamento 3)"
PAIS,Varchar,"Indica país en el que se desarrolla el
  proyecto."
REFERENCIA,Longtext,"Indica referencia donde se encuentra
  ubicado el proyecto."
HORARIO_ATENCION,Text,"Campo utilizado para colocar horario de
  atención del proyecto que aparece en mail cotización."
FECHA_ESCRITURA,Date Time,"Indica fecha en la que se espera
  escriturar el proyecto (fecha entrega cargada en el proyecto)."
FECHA_INICIO,Date Time,"Indica fecha inicio del proyecto cargada
  en el sistema."
FECHA_TERMINO,Date Time,"Indica fecha de término del proyecto
  cargada en el sistema."
PORCENTAJE_AVANCE,Decimal,Indica porcentaje de avance del proyecto.
PORCENTAJE_MULTA,Decimal,"Indica porcentaje de multa en caso de
  resciliar un contato en dicho proyecto."
EVALUACION_PLANA,Decimal,"Detalla el valor de evaluación plana que
  se carga o estima del proyecto."
EMPRESA_ASEGURADORA,Varchar,"Detalla empresa de seguros asociada al
  proyecto, cargada en el sistema."
MONTO_POLIZA_SEGURO,Varchar,"Detalla monto de la póliza de seguros
  asociada al proyecto, cargada en el sistema."
PRECIO_VENTA_OBJETIVO_PONDERADO,Decimal,"Detalla el precio venta objetivo
  ponderado cargado en datos finanzas del proyecto."
PRECIO_VENTA_OBJETIVO_UTIL,Decimal,"Detalla el precio venta objetivo útil
  cargado en datos finanzas del proyecto."
SUBSIDIO,Decimal,"Detalla valor del campo Subsidio cargado
  en datos finanzas del proyecto."
TASA,Decimal,"Detalla tasa anual de interés cargada en
  el proyecto."
TASA_HIP,Decimal,"Detalla tasa de interés que se carga para
  calcular el estimado de dividendos de crédito hipotecario."
TELEFONO2,Varchar,"Indica teléfono del proyecto cargado en
  el sistema."
TELEFONO1,Varchar,"Indica teléfono del proyecto cargado en
  el sistema."
TELEFONO_AMC,Varchar,"Indica teléfono asociado al proyecto que
  aparecerá en la AMC."
EMAIL,Varchar,"Indica mail del proyecto cargado en el
  sistema."
EMAIL_2,Varchar,"Indica mail del proyecto cargado en el
  sistema."
SITIO_WEB,Varchar,Indica el sitio web del proyecto.
VERSION,Integer,"Indicador para desarrolladores a la hora
  de realizar alguna modificación."
DESCRIPCION,Text,"Detalla una descripción del proyecto que
  se carga en el sistema."
URL_LOGO,Text,"URL del logo del proyecto (que aparece en
  la cotización por ejemplo)"
URL_IMAGEN_1,Text,URL de imagen asociada al proyecto.
URL_IMAGEN_2,Text,URL de imagen asociada al proyecto.
URL_IMAGEN_3,Text,URL de imagen asociada al proyecto.
ELIMINADO,Boolean,"Indica si el proyecto se ha eliminado o
  no."
FECHA_REGISTRO_PROYECTO,Date Time,"Indica fecha en la que el proyecto fue
  creado o cargado al sistema."
DIVIDENDO_ANIOS1,Integer,"Detalla (20) años a los cuáles calcular
  dividendos estimados de crédito hipotecario a la tasa indicada."
DIVIDENDO_ANIOS2,Integer,"Detalla (25) años a los cuáles calcular
  dividendos estimados de crédito hipotecario a la tasa indicada."
DIVIDENDO_ANIOS3,Integer,"Detalla (30) años a los cuáles calcular
  dividendos estimados de crédito hipotecario a la tasa indicada."
ID_EMPRESA,Integer,Identificador único de la empresa a la que pertenece el proyecto.
FECHA_LANZAMIENTO_COMERCIAL,date time,Detalla la fecha que se inicio las ventas del proyecto
EJECUTIVO_2,Varchar,Nombre del ejecutivo 1
EJECUTIVO_1,Varchar,Nombre del ejecutivo 2
RAZON_SOCIAL_ARQUITECTO,Varchar,Detalla como bien menciona el nombre la razón social de arquitecto del proyecto
