Nombre,Descripción,Tipo de Dato
estadoPago,Estado del pago,Varchar
emailCliente,Correo electrónico del cliente,Varchar
montoDocumentadoUF,Monto que se documentó en UF,Decimal
montoContablePesos,Monto contable en moneda secundaria,Decimal
fechaFirmaClienteEscritura,Fecha en la que el cliente firmó la escritura,Date Time
codigoAutorizacion,Codigo de autorización asociado al pago,Varchar
fechaReversa,Fecha de reversa de contrato,Date Time
tipoPago,Tipo de pago realizado,Varchar
montoPactadoCuotasUF,Monto en UF de las cuotas,Decimal
fechaBancaria,Fecha bancaria asociada,Date Time
numeroContrato,Identificador único de contrato,Integer
nombreBanco,"Nombre del banco asociado ",Varchar
ejecutivoReserva,Ejecutivo que realizó la reserva,Varchar
telefono1Cliente,Teléfono celular del cliente,Varchar
rutCliente,RUT del cliente,Varchar
fechaFirmaClientePromesa,Fecha en la que el cliente firmó la promesa,Date Time
numeroDocumento,Numero de documento,Varchar
fechaRecibo,Fecha del recibo,Date Time
fechaAprobacionPromesa,Fecha en la que se aprobó la promesa,Date Time
montoPactadoPesos,Monto pactado en moneda secundaria del pago,Double
fechaAprobacionReserva,Fecha en la que se aprobó la reserva,Date Time
fechaContable,Fecha en la que se asignó el estado contable,Date Time
nCuenta,Número de cuenta asociada al pago,Varchar
cumplimientoFechaPactada,Cumplimiento de la fecha pactada,Varchar
fechaCreacionPromesa,Fecha en la que se creó la promesa,Date Time
fechaCreacionReserva,Fecha en la que se creó la reserva,Date Time
estadoContrato,Estado del contrato,Varchar
estadoContable,Estado contable del pago,Varchar
clienteNombre,Nombre del cliente del contrato,Varchar
numeroRecibo,Numero de recibo del pago,Integer
codigoPago,Código regidtrado en el pago,Varchar
etapaBienPrincipal,Etapa del bien principal,Text
fechaDocumentadoUF,Fecha en la que se documentó el pago,Date Time
bienPrincipal,Numero de bien principal,Text
fechaPactadaPago,Fecha en la que se pactó el pago,Date Time
telefono2Cliente,Número telefónico adicional del cliente,Varchar
pagoAutomatizado,Dato que indica si el pago se realizó de manera automática,Text
bancoCreditoHipotecario,Banco asociado al crédito hipotecario,Varchar
numeroCuotaPago,Número de cuota del pago,Integer
bienesSecundarios,Bienes secundarios anexados al contrato,Text
montoContableUF,Monto contable en UF,Decimal
fechaDocumento,Fecha de documento,Date Time
proyecto,Nombre del proyecto al que pertenece,Varchar
montoPactadoUF,Monto pactado UF del pago,Decimal
pagoEnCuotas,Muestra el pago en cuotas,Varchar
conceptoPago,Concepto del pago,Varchar
idPago,Identificador único del pago,Integer
MontoDocumentadoPesos,Monto que se documentó en valor de la moneda secundaria,Decimal
fechaCapturaDocumento,Fecha captura de documento asociado al pago,Date Time
