Nombre,Tipo de Dato,Descripción
nombreProyecto,Varchar,Indica el nombre con el que proyecto aparece en MobySuite.
numeroBien,Text,Número correspondiente del bien en el proyecto.
estadoContrato,Varchar,"Indica estado en que se encuentra el contrato (Reservado, Promesado,
  etc.)"
piso,Text,N° de piso en el que se ubica el bien en el proyecto.
orientacion,Text,"Posición de la vivienda respecto del sol (Sur, Oriente, Poniente, Empty,
  etc.)"
tipo,Varchar,"Indica la tipología del bien Ej: A, B, C, D."
modelo,Char,Modelo del bien
rolBien,Text,Número de rol de la propiedad otorgado por CBRS.
numeroDormitorios,Text,Cantidad de dormitorios que posee el bien.
numeroBanos,Text,Cantidad de baños que posee el bien.
superficiePonderada,Text,Superficie útil + (Superficie Terraza/2)
superficieUtil,Text,Superficie cubierta del bien.
superficieTerraza,Text,Superficie terraza del bien.
superficieTotal,Text,Suma de superficies que hacen al total de la propiedad.
precioBase,Text,Precio base del bien
valorListaCierre,Text,Valor lista del bien
cambioValor3,Binario,
cambioUsuario3,Binario,
cambioValor2,Binario,
cambioUsuario2,Binario,
cambioValor1,Binario,
cambioUsuario1,Binario,
cambioValorFinal,Text,
totalDescuentoUF,Decimal,Monto total de descuento en UF
totalDescuentoPorcentaje,Decimal,Monto total del descuento en porcentaje
descuentoAutorizado,Text,Monto de descuento autorizado
descuentoNoAutorizado,Text,Monto de descuento no autorizado
habilitacionActual,Text,Monto de habilitacion actual
habilitacionCierre,Text,Monto de habilitacion al momento de cierre
precioVenta,Text,Precio de venta el bien
precioSuperficieUtil,Text,
precioVentaUFM,Text,
precioSuperficieTotal,Text,
bodegas,Text,Bodegas asociadas
precioBodegas,Text,Precios de las bodegas asociadas
estacionamientos,Text,Estacionamientos asociados
precioEstacionamientos,Text,Precio de los estacionamientos asociados
idCotizacion,Integer,Identificador único de la cotización
idContrato,Integer,Identificador único del contrato
rutCliente,Varchar,RUT del cliente asociado al contrato o cotización
dniCliente,Varchar,Valor que indica si el cliente tiene DNI
tipoRazonSocialCliente,Varchar,Tipo de razón social del cliente
razonSocialCliente,Varchar,"Razón social del cliente "
fechaNacimientoCliente,Date Time,Fecha de nacimiento del cliente
