Nombre,Descripción,Tipo de Dato
SUB_ESTADO_RESERVA,Indica el/los sub estados de Reserva por los que ha pasado el contrato.,Tinytext
FECHA_REGISTRO,Indica la fecha en la que se guardó la información del elemento en la tabla de la base de datos.,Date Time
ESTADO_RESERVA_FINAL,Indica el estado actual y último que tiene el contrato.,Tinytext
OBSERVACION,"Detalla
  observaciones asociadas al contrato.",Text
ESTADO_RESERVA,Indica el/los estados de Reserva por los que ha pasado el contrato.,Tinytext
FECHA_ESTADO,Indica última fecha en la que adquirió el estado de reserva actual.,Date Time
ID_USUARIO,Identificador único del usuario que realiza la reserva.,Integer
ID_PROYECTO,Identificador único del proyecto al que corresponde la reserva.,Integer
FECHA_INFORME_INMOBILIARIA,Indica la fecha en que el gestor inmobiliario avisa a la inmobiliaria una venta.,Date Time
SUB_ESTADO_RESERVA_FINAL,Indica el sub estado actual y último que tiene el contrato.,Tinytext
ELIMINADO,Indica si el contrato ha sido eliminado o no.,Boolean
ID_RESERVA,Identificador único de la reserva.,Integer
ID_CONTRATO,Identificador único del contrato.,Integer
FECHA_RESERVA,Indica fecha en la que se realizó la reserva.,Date Time
