Nombre,Descripción,Tipo de Dato
FECHA_REVERSA,Indica la fecha en la que se realizo la reversa.,Date Time
ID_RECIBO,"Identificador único del recibo, asociado al pago.",Integer
ID_PAGOS,Identificador único del pago.,Integer
ID_EJECUTIVO_REVERSA,Identificador único del usuario que realizó la reversa.,Integer
OBSERVACION,Muestra una descripción del motivo por el cual se realiza la reversa.,Varchar
CUOTA,"Número de cuota que está pagando el
cliente.",Integer
NOMBRE_BANCO,Banco vinculante al tipo de pago.,Varchar
DOCUMENTADO_PESOS,Monto pagado por el cliente en pesos chilenos.,Decimal
ESTADO_CONTABLE,"Indica el estado asignado por contabilidad (Depositado, En cartera,
Conciliado, etc.)",Varchar
MONTO_PESOS_CONTABLE,Indica el monto en pesos chilenos del pago registrado por contabilidad.,Decimal
DOCUMENTADO_UF,Monto pactado para el pago en UF.,Decimal
MONTO_PACTADO_PESOS,Monto pactado para el pago en pesos chilenos.,Decimal
ID_EJECUTIVO_AUTORIZACION_REVERSA,Identificador único del usuario que autorizó la reversa.,Integer
ID_CONTRATO,Identificador único del contrato asociado al pago.,Integer
FECHA_PACTADA,Indica fecha pactada de pago para esa cuota.,Date Time
ID_EJECUTIVO_SOLICITUD_REVERSA,Identificador único del usuario que realizó la solicitud de la reversa.,Integer
FECHA_PAGO,"Indica fecha que se toma de la UF, se puede cambiar al documentar o al
contabilizar.",Date Time
MONTO_UF_CONTABLE,Indica el monto en UF del pago registrado por contabilidad.,Decimal
SERIE_PAGO,Número de serie del cheque.,Varchar
MONTO_PACTADO_UF,Monto pactado para el pago en UF.,Decimal
DESCRIPCION_PAGO,"Describe el ítem que está pagando (Cierre de negocio, cuotas de la
construcción, etc.)",Varchar
FECHA_TIPO_PAGO,"Indica la fecha detallada en el documento asociado al pago (ej: si paga
con cheque, es la fecha del mismo)",Date Time
TIPO_DOCUMENTO,"Tipo de Pago (Cheque, Transbank, Depósito, Transferencia, etc.)",Varchar
