Nombre,Tipo de Dato,Descripción
ID_USUARIO,Integer,Identificador único del usuario.
NOMBRE_USUARIO,Varchar,Indica nombre de usuario con el que ingresará a MobySuite.
RUT,Varchar,Indica RUT del usuario
NOMBRE,Varchar,Indica nombre de la persona asociada al usuario.
APELLIDO,Varchar,Indica apellido de la persona asociada al usuario.
EMAIL,Varchar,Indica mail del usuario.
TELEFONO,Varchar,Indica teléfono del usuario.
HORARIO_ATENCION,Text,Indica horario de atención de dicho usuario.
ACTIVO,Boolean,Indica si es un usuario activo o no.
NOMBRE_PERFIL,Varchar,Indica el tipo de perfil asignado al usuario.
