Nombre,Descripción,Tipo de Dato
APELLIDO,Indica apellido de la persona asociada al usuario.,Varchar
RUT,Indica RUT del usuario,Varchar
NOMBRE_USUARIO,Indica nombre de usuario con el que ingresará a MobySuite.,Varchar
TELEFONO,Indica teléfono del usuario.,Varchar
ACTIVO,Indica si es un usuario activo o no.,Boolean
EMAIL,Indica mail del usuario.,Varchar
NOMBRE,Indica nombre de la persona asociada al usuario.,Varchar
NOMBRE_PERFIL,Indica el tipo de perfil asignado al usuario.,Varchar
ID_USUARIO,Identificador único del usuario.,Integer
HORARIO_ATENCION,Indica horario de atención de dicho usuario.,Text
